train_loss,step,epoch
0.09109621495008469,49,0
0.03767099976539612,99,0
0.05305548012256622,149,1
0.02815609984099865,199,1
0.04752696305513382,249,2
0.023605572059750557,299,2
0.03999548777937889,349,3
0.020191077142953873,399,3
0.036234479397535324,449,4
0.017283935099840164,499,4
0.03081221878528595,549,5
0.0169600248336792,599,5
0.02880365215241909,649,6
0.015943482518196106,699,6
0.027382325381040573,749,7
0.016197340562939644,799,7
0.026100460439920425,849,8
0.014821129851043224,899,8
0.026919705793261528,949,9
0.015110100619494915,999,9
0.02534039132297039,1049,10
0.014422810636460781,1099,10
0.02620796672999859,1149,11
0.014806271530687809,1199,11
0.02625451050698757,1249,12
0.014673329889774323,1299,12
0.024925345554947853,1349,13
0.014426495879888535,1399,13
0.024635879322886467,1449,14
0.014271244406700134,1499,14
0.025265200063586235,1549,15
0.013887643814086914,1599,15
0.025789666920900345,1649,16
0.014452914707362652,1699,16
0.02703218348324299,1749,17
0.014746111817657948,1799,17
0.025367245078086853,1849,18
0.013784953393042088,1899,18
0.02570309303700924,1949,19
0.01540992222726345,1999,19
0.026590581983327866,2049,20
0.01321216206997633,2099,20
0.026320047676563263,2149,21
0.01345564890652895,2199,21
0.02571783773601055,2249,22
0.013000833801925182,2299,22
0.026376713067293167,2349,23
0.014727036468684673,2399,23
0.02620849944651127,2449,24
0.013286145403981209,2499,24
0.025995034724473953,2549,25
0.014308493584394455,2599,25
0.02628249302506447,2649,26
0.014290972612798214,2699,26
0.026968520134687424,2749,27
0.013016783632338047,2799,27
0.026670489460229874,2849,28
0.01356164738535881,2899,28
0.026263907551765442,2949,29
0.01310029812157154,2999,29
0.0271464791148901,3049,30
0.013793261721730232,3099,30
0.028524981811642647,3149,31
0.01386130042374134,3199,31
0.026087015867233276,3249,32
0.01304746512323618,3299,32
0.029410555958747864,3349,33
0.012543553486466408,3399,33
0.0270285252481699,3449,34
0.013332320377230644,3499,34
0.028420759364962578,3549,35
0.01287347637116909,3599,35
0.027162328362464905,3649,36
0.012930966913700104,3699,36
0.030677974224090576,3749,37
0.012633111327886581,3799,37
0.02707194723188877,3849,38
0.014089406467974186,3899,38
0.029158806428313255,3949,39
0.013328418135643005,3999,39
0.027688706293702126,4049,40
0.013694079592823982,4099,40
0.02914224937558174,4149,41
0.012476031668484211,4199,41
0.02779279090464115,4249,42
0.013395984657108784,4299,42
0.031204983592033386,4349,43
0.012360891327261925,4399,43
0.029689200222492218,4449,44
0.014613542705774307,4499,44
0.028764963150024414,4549,45
0.013062812387943268,4599,45
0.028076525777578354,4649,46
0.013772946782410145,4699,46
0.02809443697333336,4749,47
0.013279518112540245,4799,47
0.02808731608092785,4849,48
0.014170965179800987,4899,48
0.029562493786215782,4949,49
0.01324708852916956,4999,49
0.0276675783097744,5049,50
0.012392456643283367,5099,50
0.028580080717802048,5149,51
0.014799119904637337,5199,51
0.027787217870354652,5249,52
0.012953859753906727,5299,52
0.029952727258205414,5349,53
0.012957119382917881,5399,53
0.028396466746926308,5449,54
0.012804887257516384,5499,54
0.028725935146212578,5549,55
0.01281998585909605,5599,55
0.030153872445225716,5649,56
0.012635128572583199,5699,56
0.028751567006111145,5749,57
0.012582270428538322,5799,57
